camera_id,front_or_back,TL_x,TL_y,TR_x,TR_y
23442333,front,3510,2264,3510,2149
23442333,back,2149,3500,2260,3500
23484201,front,3526,2270,3526,2173
23484201,back,2183,3510,2291,3510
23484204,front,3490,2227,3490,2119
23484204,back,2203,3493,2311,3493
23520257,front,3516,2227,3516,2116
23520257,back,2200,3483,2311,3483
23520258,front,3513,2237,3513,2129
23520258,back,2170,3513,2284,3513
23520264,front,3520,2203,3520,2096
23520264,back,2227,3466,2334,3466
23520266,front,3479,2250,3479,2139
23520266,back,2146,3473,2254,3473
23520268,front,3500,2267,3500,2166
23520268,back,2190,3523,2287,3523
23520270,front,3493,2267,3493,2163
23520270,back,2163,3500,2270,3500
23520276,front,3530,2280,3530,2180
23520276,back,2196,3496,2304,3496
23520278,front,3520,2257,3520,2156
23520278,back,2186,3503,2294,3503
23520289,front,3533,2203,3533,2092
23520289,back,2190,3463,2304,3463
